PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT
61241,2024-01-04,AMD,ADVANCED MICRO DEVICES INC,136.00999,58130127,0.005099,1616000
61241,2024-01-05,AMD,ADVANCED MICRO DEVICES INC,138.58000,69243606,0.018896,1616000
61241,2024-01-08,AMD,ADVANCED MICRO DEVICES INC,146.17999,71413980,0.054842,1616000
61241,2024-01-09,AMD,ADVANCED MICRO DEVICES INC,149.25999,67690041,0.021070,1616000
61241,2024-01-10,AMD,ADVANCED MICRO DEVICES INC,148.53999,56800719,-0.004824,1616000
61241,2024-01-11,AMD,ADVANCED MICRO DEVICES INC,148.02000,62564114,-0.003501,1616000
61241,2024-01-12,AMD,ADVANCED MICRO DEVICES INC,146.56000,48191196,-0.009864,1616000
61241,2024-01-16,AMD,ADVANCED MICRO DEVICES INC,158.74001,111956729,0.083106,1616000
61241,2024-01-17,AMD,ADVANCED MICRO DEVICES INC,160.17000,103766777,0.009008,1616000
61241,2024-01-18,AMD,ADVANCED MICRO DEVICES INC,162.67000,131426897,0.015608,1616000
61241,2024-01-19,AMD,ADVANCED MICRO DEVICES INC,174.23000,139740068,0.071064,1616000
61241,2024-01-22,AMD,ADVANCED MICRO DEVICES INC,168.17999,122129138,-0.034724,1616000
61241,2024-01-23,AMD,ADVANCED MICRO DEVICES INC,168.42000,76500780,0.001427,1616000
61241,2024-01-24,AMD,ADVANCED MICRO DEVICES INC,178.28999,125020760,0.058603,1616000
61241,2024-01-25,AMD,ADVANCED MICRO DEVICES INC,180.33000,126658899,0.011442,1615787
61241,2024-01-26,AMD,ADVANCED MICRO DEVICES INC,177.25000,107040946,-0.017080,1615787
61241,2024-01-29,AMD,ADVANCED MICRO DEVICES INC,177.83000,89078900,0.003272,1615787
61241,2024-01-30,AMD,ADVANCED MICRO DEVICES INC,172.06000,121600075,-0.032447,1615787
61241,2024-01-31,AMD,ADVANCED MICRO DEVICES INC,167.69000,132146833,-0.025398,1615787
61241,2024-02-01,AMD,ADVANCED MICRO DEVICES INC,170.48000,91248950,0.016638,1615787
61241,2024-02-02,AMD,ADVANCED MICRO DEVICES INC,177.66000,81743273,0.042116,1615787
61241,2024-02-05,AMD,ADVANCED MICRO DEVICES INC,174.23000,75965180,-0.019307,1615787
61241,2024-02-06,AMD,ADVANCED MICRO DEVICES INC,167.88000,68463092,-0.036446,1615787
61241,2024-02-07,AMD,ADVANCED MICRO DEVICES INC,170.94000,53334830,0.018227,1615787
61241,2024-02-08,AMD,ADVANCED MICRO DEVICES INC,169.35001,43093491,-0.009301,1615787
61241,2024-02-09,AMD,ADVANCED MICRO DEVICES INC,172.48000,55752350,0.018482,1615787
61241,2024-02-12,AMD,ADVANCED MICRO DEVICES INC,171.91000,57913485,-0.003305,1615787
61241,2024-02-13,AMD,ADVANCED MICRO DEVICES INC,171.53999,62679510,-0.002152,1615787
61241,2024-02-14,AMD,ADVANCED MICRO DEVICES INC,178.70000,57124781,0.041740,1615787
61241,2024-02-15,AMD,ADVANCED MICRO DEVICES INC,176.75999,51086083,-0.010856,1615787
61241,2024-02-16,AMD,ADVANCED MICRO DEVICES INC,173.87000,53668806,-0.016350,1615787
61241,2024-02-20,AMD,ADVANCED MICRO DEVICES INC,165.69000,66147256,-0.047047,1615787
61241,2024-02-21,AMD,ADVANCED MICRO DEVICES INC,164.28999,48569337,-0.008450,1615787
61241,2024-02-22,AMD,ADVANCED MICRO DEVICES INC,181.86000,99967244,0.106945,1615787
61241,2024-02-23,AMD,ADVANCED MICRO DEVICES INC,176.52000,68874772,-0.029363,1615787
61241,2024-02-26,AMD,ADVANCED MICRO DEVICES INC,176.00999,45227006,-0.002889,1615787
61241,2024-02-27,AMD,ADVANCED MICRO DEVICES INC,178.00000,44338460,0.011306,1615787
61241,2024-02-28,AMD,ADVANCED MICRO DEVICES INC,176.53999,35749274,-0.008202,1615787
61241,2024-02-29,AMD,ADVANCED MICRO DEVICES INC,192.53000,105028049,0.090574,1615787
61241,2024-03-01,AMD,ADVANCED MICRO DEVICES INC,202.64000,103452800,0.052511,1615787
61241,2024-03-04,AMD,ADVANCED MICRO DEVICES INC,205.36000,86490386,0.013423,1615787
61241,2024-03-05,AMD,ADVANCED MICRO DEVICES INC,205.13000,65053986,-0.001120,1615787
61241,2024-03-06,AMD,ADVANCED MICRO DEVICES INC,210.63000,86375617,0.026812,1615787
61241,2024-03-07,AMD,ADVANCED MICRO DEVICES INC,211.38000,63686630,0.003561,1615787
61241,2024-03-08,AMD,ADVANCED MICRO DEVICES INC,207.39000,120245636,-0.018876,1615787
61241,2024-03-11,AMD,ADVANCED MICRO DEVICES INC,198.39000,72762292,-0.043396,1615787
61241,2024-03-12,AMD,ADVANCED MICRO DEVICES INC,202.75999,68647928,0.022027,1615787
61241,2024-03-13,AMD,ADVANCED MICRO DEVICES INC,194.78999,70127759,-0.039308,1616140
61241,2024-03-14,AMD,ADVANCED MICRO DEVICES INC,187.06000,84057345,-0.039684,1616140
61241,2024-03-15,AMD,ADVANCED MICRO DEVICES INC,191.06000,94585286,0.021384,1616140
61241,2024-03-18,AMD,ADVANCED MICRO DEVICES INC,190.64999,59164990,-0.002146,1616140
61241,2024-03-19,AMD,ADVANCED MICRO DEVICES INC,181.42000,83064852,-0.048413,1616140
61241,2024-03-20,AMD,ADVANCED MICRO DEVICES INC,179.73000,81491315,-0.009315,1616140
61241,2024-03-21,AMD,ADVANCED MICRO DEVICES INC,178.67999,75025600,-0.005842,1616140
61241,2024-03-22,AMD,ADVANCED MICRO DEVICES INC,179.64999,57560076,0.005429,1616140
61241,2024-03-25,AMD,ADVANCED MICRO DEVICES INC,178.63000,71531403,-0.005678,1616140
