date,ess,llm_sentiment,tangibility,relevance,composite,mkt_rf,smb,hml,rf
2024-02-05,-0.02537125,-0.033698803030303,-0.0539341904761904,-0.0385962222222222,-0.0543166904761904,-0.0040999999999999995,-0.0073,-0.0066,0.0002
2024-02-06,-0.0018539999999999,0.0149684285714285,0.0134829999999999,0.0127432857142857,0.0101622857142857,0.0027,0.0085,-0.004699999999999999,0.0002
2024-02-07,0.0012793333333333,0.0074821111111111,0.0033491666666666,0.0069463333333333,0.0089332666666666,0.0077,-0.009000000000000001,-0.0060999999999999995,0.0002
2024-02-08,0.0050163214285714,0.0064882637362637,0.0102894285714285,0.0132687142857142,0.0102894285714285,0.0021,0.0149,0.0001,0.0002
2024-02-09,0.0660284166666666,,,,,0.006500000000000001,0.01,-0.0042,0.0002
2024-02-12,0.0155577727272727,0.0080956999999999,-0.0047019999999999,-0.0003058499999999,0.0002799999999999,0.0004,0.0129,0.0111,0.0002
2024-02-13,-0.0072563,-0.0073956666666666,0.0078697499999999,0.0078697499999999,0.0017249999999999,-0.016,-0.024,-0.006500000000000001,0.0002
2024-02-14,0.0197294,0.0044311666666666,0.0387951999999999,-0.0129471999999999,-0.0178982,0.011399999999999999,0.015700000000000002,-0.0022,0.0002
2024-02-15,,-0.0127474416666666,-0.0004661249999999,-0.0004316249999999,-0.0004661249999999,0.0067,0.0084,0.0104,0.0002
2024-02-16,-0.0206234333333333,-0.02502325,-0.0203180333333333,-0.0075229999999999,-0.0164309999999999,-0.0053,-0.0066,-0.0017000000000000001,0.0002
2024-02-20,-0.0254556805555555,-0.0251768809523809,-0.0268332499999999,-0.022533,-0.02262125,-0.0073,-0.0086,0.0033,0.0002
2024-02-21,0.0136953333333333,0.0078456666666666,-0.0269651666666666,-0.0151458333333333,-0.0211635,-0.0002,-0.008199999999999999,0.0014000000000000002,0.0002
2024-02-22,0.0188646666666666,-0.00439375,0.0031674666666666,-0.0122573333333333,0.0056994999999999,0.0202,-0.012,-0.0129,0.0002
2024-02-23,0.016762,-0.0052619444444444,-0.0171452142857142,-0.0208840476190476,-0.0180470833333333,0.0002,0.0028000000000000004,0.0,0.0002
2024-02-26,-0.0104335714285714,-0.0095547777777777,-0.0030024285714285,-0.0075698333333333,-0.0048458571428571,-0.0026,0.0101,-0.0012,0.0002
2024-02-27,-0.0124775,-0.0053776507936507,0.0102926666666666,0.0070968333333333,0.0088558095238095,0.0026,0.012,-0.0044,0.0002
2024-02-28,-0.0523666923076923,-0.0506667142857142,-0.0685955714285714,-0.0685955714285714,-0.0549232321428571,-0.0026,-0.0086,-0.0001,0.0002
2024-02-29,-0.0060721428571428,-0.0009078,-0.0119924285714285,-0.0129993333333333,-0.0120267142857142,0.0053,-0.0036,0.0098,0.0002
2024-03-01,-0.0149968499999999,0.02877975,0.0437480833333333,0.02109255,0.02109255,0.0076,0.0009,-0.0055000000000000005,0.0002
2024-03-04,0.0005834821428571,0.0094628977272727,-0.0039815357142857,-0.009551,-0.0005264107142857,-0.0018,-0.0079,0.0034000000000000002,0.0002
2024-03-05,0.0212894285714285,0.0324758571428571,-0.0031425714285714,0.0001209999999999,0.0091968571428571,-0.010700000000000001,-0.0032,0.011699999999999999,0.0002
2024-03-06,0.0146338,0.0046088095238095,-0.0098584,-0.0075681499999999,-0.0076217999999999,0.0053,-0.0016,-0.0003,0.0002
2024-03-07,0.0014334,-0.0090299,-0.01020505,-0.0100597333333333,-0.0068849333333333,0.0102,-0.004699999999999999,0.0003,0.0002
2024-03-08,-0.0033283333333333,-0.0231729166666666,0.0043358333333333,-0.0031276666666666,0.0043358333333333,-0.0066,0.005,0.005699999999999999,0.0002
2024-03-11,0.0091072,0.0407956111111111,-0.0166944999999999,0.0081330666666666,0.0086339,-0.002,-0.0070999999999999995,0.004,0.0002
2024-03-12,-0.0123642,-0.01457345,0.005782,-0.0068156,-0.0022389999999999,0.0104,-0.0097,-0.0069,0.0002
2024-03-13,-0.009287375,,0.001005625,-0.002676625,-0.002676625,-0.0014000000000000002,0.003,-0.0002,0.0002
2024-03-14,-0.00796405,-0.0123616,-0.0011511,-0.00653825,-0.00202875,-0.0042,-0.0131,-0.0104,0.0002
2024-03-15,0.0028422499999999,-0.0031308571428571,-0.0149926,-0.020952,-0.0187598,-0.0058,0.0075,0.0079,0.0002
2024-03-18,0.0231633333333333,0.0226087916666666,0.0128703333333333,0.0350645,0.0207649047619047,0.0053,-0.0102,-0.0025,0.0002
2024-03-19,0.0058186493506493,0.0073881714285714,0.0049335714285714,0.0049335714285714,0.0049335714285714,0.0054,0.0053,-0.0027,0.0002
2024-03-20,0.0122030666666666,,0.0175063333333333,-0.0065861666666666,-0.0065861666666666,0.0102,0.0091,0.0101,0.0002
